,Metric,Value,"[theta,neighbour]"
0,WEAT,0.09461230873565754,"[0.05, 200]"
1,WEATES,0.48335910855481895,"[0.05, 200]"
2,ECT,0.8493650760536591,"[0.05, 200]"
3,RNSB,0.008423493077963074,"[0.05, 200]"
4,RND,0.013952906951496521,"[0.05, 200]"
5,RIPA,0.01622156612575054,"[0.05, 200]"
0,WEAT,0.0838961586200676,"[0.1, 200]"
1,WEATES,0.5404878581274056,"[0.1, 200]"
2,ECT,0.9061317373703401,"[0.1, 200]"
3,RNSB,0.007482502221683534,"[0.1, 200]"
4,RND,0.010868897333005502,"[0.1, 200]"
5,RIPA,0.01809362694621086,"[0.1, 200]"
0,WEAT,0.09455826728644148,"[0.02, 50]"
1,WEATES,0.4169515087964492,"[0.02, 50]"
2,ECT,0.7952114376444857,"[0.02, 50]"
3,RNSB,0.018782203068020253,"[0.02, 50]"
4,RND,0.024485136509363885,"[0.02, 50]"
5,RIPA,0.0110143618658185,"[0.02, 50]"
0,WEAT,0.07845069264281017,"[0.05, 50]"
1,WEATES,0.34957840809782975,"[0.05, 50]"
2,ECT,0.7150122084803283,"[0.05, 50]"
3,RNSB,0.016812178493913286,"[0.05, 50]"
4,RND,0.022626747107660983,"[0.05, 50]"
5,RIPA,0.014173753559589386,"[0.05, 50]"
0,WEAT,0.07905937294273299,"[0.1, 50]"
1,WEATES,0.3552508970703237,"[0.1, 50]"
2,ECT,0.6934320292642534,"[0.1, 50]"
3,RNSB,0.019202284025332896,"[0.1, 50]"
4,RND,0.022841590129137834,"[0.1, 50]"
5,RIPA,0.014436452649533749,"[0.1, 50]"
0,WEAT,0.09116799073431651,"[0.02, 100]"
1,WEATES,0.4112341403101078,"[0.02, 100]"
2,ECT,0.7328573340633961,"[0.02, 100]"
3,RNSB,0.015206594822423142,"[0.02, 100]"
4,RND,0.025441600743145696,"[0.02, 100]"
5,RIPA,0.009812813252210617,"[0.02, 100]"
0,WEAT,0.08006774086029769,"[0.05, 100]"
1,WEATES,0.3509140730817106,"[0.05, 100]"
2,ECT,0.7274945774082253,"[0.05, 100]"
3,RNSB,0.01848280680785841,"[0.05, 100]"
4,RND,0.024044150810299175,"[0.05, 100]"
5,RIPA,0.012487110681831837,"[0.05, 100]"
0,WEAT,0.08054499245881078,"[0.1, 100]"
1,WEATES,0.3647679599580603,"[0.1, 100]"
2,ECT,0.6952726863468103,"[0.1, 100]"
3,RNSB,0.015067712148539029,"[0.1, 100]"
4,RND,0.023187439419748324,"[0.1, 100]"
5,RIPA,0.014027048833668232,"[0.1, 100]"
0,WEAT,0.10019227396738181,"[0.02, 200]"
1,WEATES,0.4266718430914799,"[0.02, 200]"
2,ECT,0.7091000698551356,"[0.02, 200]"
3,RNSB,0.01463829379366933,"[0.02, 200]"
4,RND,0.02646095421532846,"[0.02, 200]"
5,RIPA,0.009705406613647938,"[0.02, 200]"
0,WEAT,0.07923758354722571,"[0.05, 200]"
1,WEATES,0.33993572013287576,"[0.05, 200]"
2,ECT,0.6882608119095415,"[0.05, 200]"
3,RNSB,0.014336327784439969,"[0.05, 200]"
4,RND,0.024680306474898068,"[0.05, 200]"
5,RIPA,0.01171915140002966,"[0.05, 200]"
0,WEAT,0.08000943629340418,"[0.1, 200]"
1,WEATES,0.3657530126788702,"[0.1, 200]"
2,ECT,0.6901935984913652,"[0.1, 200]"
3,RNSB,0.017249590145478173,"[0.1, 200]"
4,RND,0.022713838427973337,"[0.1, 200]"
5,RIPA,0.01438822504132986,"[0.1, 200]"
0,WEAT,0.06425501067677286,"[0.02, 50]"
1,WEATES,0.43013075286459135,"[0.02, 50]"
2,ECT,0.8243193072482046,"[0.02, 50]"
3,RNSB,0.01919770711250987,"[0.02, 50]"
4,RND,0.012771696416508443,"[0.02, 50]"
5,RIPA,0.010615553706884384,"[0.02, 50]"
0,WEAT,0.05550395341612517,"[0.05, 50]"
1,WEATES,0.4738150988237279,"[0.05, 50]"
2,ECT,0.8890719288745309,"[0.05, 50]"
3,RNSB,0.021079254450089124,"[0.05, 50]"
4,RND,0.010186442462089764,"[0.05, 50]"
5,RIPA,0.01645989529788494,"[0.05, 50]"
0,WEAT,0.05226062776444912,"[0.1, 50]"
1,WEATES,0.4593567682255325,"[0.1, 50]"
2,ECT,0.8720772213579638,"[0.1, 50]"
3,RNSB,0.02240739703948156,"[0.1, 50]"
4,RND,0.010906338191817815,"[0.1, 50]"
5,RIPA,0.017809173092246056,"[0.1, 50]"
0,WEAT,0.06665141126211911,"[0.02, 100]"
1,WEATES,0.44810410418539887,"[0.02, 100]"
2,ECT,0.8258589261142673,"[0.02, 100]"
3,RNSB,0.016973764216264012,"[0.02, 100]"
4,RND,0.01294369511478699,"[0.02, 100]"
5,RIPA,0.010864928364753723,"[0.02, 100]"
0,WEAT,0.0540926329812239,"[0.05, 100]"
1,WEATES,0.4551814341098141,"[0.05, 100]"
2,ECT,0.8682563524897979,"[0.05, 100]"
3,RNSB,0.018204911098858134,"[0.05, 100]"
4,RND,0.009897490038599074,"[0.05, 100]"
