,Metric,Value,"[theta,neighbour]"
0,WEAT,0.08208790031757515,"[0.02, 200]"
1,WEATES,0.5211473859764065,"[0.02, 200]"
2,ECT,0.8607507032031404,"[0.02, 200]"
3,RNSB,0.009839368889219671,"[0.02, 200]"
4,RND,0.012282932381192524,"[0.02, 200]"
5,RIPA,0.01378739345818758,"[0.02, 200]"
0,WEAT,0.08619280484288055,"[0.05, 200]"
1,WEATES,0.4594633937314071,"[0.05, 200]"
2,ECT,0.91454077538729,"[0.05, 200]"
3,RNSB,0.008774950889270178,"[0.05, 200]"
4,RND,0.012684867160255539,"[0.05, 200]"
5,RIPA,0.016337769106030464,"[0.05, 200]"
0,WEAT,0.07832507138276375,"[0.1, 200]"
1,WEATES,0.5094881289101959,"[0.1, 200]"
2,ECT,0.9287234708082169,"[0.1, 200]"
3,RNSB,0.007883005012645104,"[0.1, 200]"
4,RND,0.0107383954836811,"[0.1, 200]"
5,RIPA,0.01682979427278042,"[0.1, 200]"
0,WEAT,0.10323266948808751,"[0.02, 50]"
1,WEATES,0.4165931096866801,"[0.02, 50]"
2,ECT,0.6666762382119233,"[0.02, 50]"
3,RNSB,0.01913188378303367,"[0.02, 50]"
4,RND,0.02307726555954685,"[0.02, 50]"
5,RIPA,0.013289150781929493,"[0.02, 50]"
0,WEAT,0.08468794196451238,"[0.05, 50]"
1,WEATES,0.3913833363755799,"[0.05, 50]"
2,ECT,0.6613647901311538,"[0.05, 50]"
3,RNSB,0.015725454700674955,"[0.05, 50]"
4,RND,0.019898580879857287,"[0.05, 50]"
5,RIPA,0.017051195725798607,"[0.05, 50]"
0,WEAT,0.0817473631299647,"[0.1, 50]"
1,WEATES,0.40304033292514213,"[0.1, 50]"
2,ECT,0.5991095593524401,"[0.1, 50]"
3,RNSB,0.015120991546945666,"[0.1, 50]"
4,RND,0.019099679494097844,"[0.1, 50]"
5,RIPA,0.018340041860938072,"[0.1, 50]"
0,WEAT,0.11668473629839102,"[0.02, 100]"
1,WEATES,0.41913384863521647,"[0.02, 100]"
2,ECT,0.5824324281056062,"[0.02, 100]"
3,RNSB,0.017510940631048487,"[0.02, 100]"
4,RND,0.02763425849118677,"[0.02, 100]"
5,RIPA,0.012356148101389408,"[0.02, 100]"
0,WEAT,0.08572601103058813,"[0.05, 100]"
1,WEATES,0.4020876589730761,"[0.05, 100]"
2,ECT,0.649576759209156,"[0.05, 100]"
3,RNSB,0.011407633047857598,"[0.05, 100]"
4,RND,0.02152861524018092,"[0.05, 100]"
5,RIPA,0.015558231621980667,"[0.05, 100]"
0,WEAT,0.08191005324685711,"[0.1, 100]"
1,WEATES,0.4136255243061479,"[0.1, 100]"
2,ECT,0.6016254498050533,"[0.1, 100]"
3,RNSB,0.01254751116067802,"[0.1, 100]"
4,RND,0.018894627173578298,"[0.1, 100]"
5,RIPA,0.018357302993535995,"[0.1, 100]"
0,WEAT,0.11946884852056126,"[0.02, 200]"
1,WEATES,0.399757138851737,"[0.02, 200]"
2,ECT,0.5874331315260636,"[0.02, 200]"
3,RNSB,0.016436588635352568,"[0.02, 200]"
4,RND,0.02850838383039003,"[0.02, 200]"
5,RIPA,0.013808459043502808,"[0.02, 200]"
0,WEAT,0.10337164907266654,"[0.05, 200]"
1,WEATES,0.43298862753476924,"[0.05, 200]"
2,ECT,0.6022920042471369,"[0.05, 200]"
