,Metric,Value,"[theta,neighbour]"
4,RND,0.012548345883625035,"[0.05, 200]"
5,RIPA,0.012783857993781567,"[0.05, 200]"
0,WEAT,0.038316397107928266,"[0.1, 200]"
1,WEATES,0.2825408481173114,"[0.1, 200]"
2,ECT,0.9059824894003555,"[0.1, 200]"
3,RNSB,0.021561058296662165,"[0.1, 200]"
4,RND,0.015569876979061393,"[0.1, 200]"
5,RIPA,0.015644250437617302,"[0.1, 200]"
0,WEAT,0.1131897564726289,"[0.02, 50]"
1,WEATES,0.6152476224442506,"[0.02, 50]"
2,ECT,0.7516309241464502,"[0.02, 50]"
3,RNSB,0.040436439068852956,"[0.02, 50]"
4,RND,0.023828564957802893,"[0.02, 50]"
5,RIPA,0.015923883765935898,"[0.02, 50]"
0,WEAT,0.11475086808955666,"[0.05, 50]"
1,WEATES,0.6356782608941781,"[0.05, 50]"
2,ECT,0.7892960648040339,"[0.05, 50]"
3,RNSB,0.04245537084816043,"[0.05, 50]"
4,RND,0.0256502179282101,"[0.05, 50]"
5,RIPA,0.018999284133315086,"[0.05, 50]"
0,WEAT,0.09953452525576947,"[0.1, 50]"
1,WEATES,0.6104764606520062,"[0.1, 50]"
2,ECT,0.770851372494243,"[0.1, 50]"
3,RNSB,0.04224056902688881,"[0.1, 50]"
4,RND,0.024492634801079827,"[0.1, 50]"
5,RIPA,0.016494182869791985,"[0.1, 50]"
0,WEAT,0.10582951912808856,"[0.02, 100]"
1,WEATES,0.5710619501366845,"[0.02, 100]"
2,ECT,0.7318427867329604,"[0.02, 100]"
3,RNSB,0.03090562477047348,"[0.02, 100]"
4,RND,0.02267183571252108,"[0.02, 100]"
5,RIPA,0.016118662431836128,"[0.02, 100]"
0,WEAT,0.11746837913904673,"[0.05, 100]"
1,WEATES,0.6109582474879572,"[0.05, 100]"
2,ECT,0.7757389314931004,"[0.05, 100]"
3,RNSB,0.04007581143024188,"[0.05, 100]"
4,RND,0.025531442736401896,"[0.05, 100]"
5,RIPA,0.018032599240541458,"[0.05, 100]"
0,WEAT,0.1056868681586425,"[0.1, 100]"
1,WEATES,0.6485864460009222,"[0.1, 100]"
2,ECT,0.7721907821696231,"[0.1, 100]"
3,RNSB,0.04123387481909801,"[0.1, 100]"
4,RND,0.023185077198229227,"[0.1, 100]"
5,RIPA,0.016520122066140175,"[0.1, 100]"
0,WEAT,0.09173738057432824,"[0.02, 200]"
1,WEATES,0.6086930067132197,"[0.02, 200]"
